epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.885,1.4453,1.61379,1.21849,0.62507,0.56778,0.55833,0.32459,1.35811,1.80151,1.25165,0.000474349,0.000474349,0.000474349
2,383.296,1.24822,0.91991,1.12195,0.56735,0.48936,0.50502,0.28313,1.4746,1.98265,1.34806,0.000931858,0.000931858,0.000931858
3,571.945,1.18624,0.83508,1.10004,0.67181,0.49807,0.5469,0.32433,1.43539,1.89956,1.36738,0.00137051,0.00137051,0.00137051
4,759.559,1.143,0.78555,1.07921,0.67138,0.55744,0.57675,0.33203,1.47066,1.79506,1.36574,0.00134412,0.00134412,0.00134412
5,946.157,1.10718,0.72977,1.06326,0.65234,0.50031,0.53698,0.29954,1.47424,2.0288,1.38804,0.00131582,0.00131582,0.00131582
6,1132.41,1.07846,0.6971,1.04777,0.6628,0.52862,0.55205,0.32143,1.4476,1.8984,1.35782,0.00128753,0.00128753,0.00128753
7,1316.25,1.0382,0.66341,1.03016,0.66285,0.53656,0.56742,0.32667,1.47429,1.90842,1.3927,0.00125923,0.00125923,0.00125923
8,1500.31,1.02244,0.64103,1.0213,0.62795,0.50869,0.54323,0.31013,1.4717,2.02933,1.40351,0.00123094,0.00123094,0.00123094
9,1684.85,0.99776,0.61859,1.00941,0.66908,0.47735,0.5298,0.29562,1.52202,2.04584,1.44635,0.00120265,0.00120265,0.00120265
10,1868.73,0.98972,0.60711,1.00926,0.63352,0.54959,0.57247,0.32593,1.49075,1.96497,1.41066,0.00117435,0.00117435,0.00117435
11,2052.56,0.97231,0.59233,1.003,0.62224,0.56119,0.55533,0.32792,1.45737,2.04416,1.39715,0.00114606,0.00114606,0.00114606
12,2237.38,0.95389,0.57942,0.99758,0.64584,0.5019,0.53929,0.31401,1.48335,2.08558,1.4181,0.00111776,0.00111776,0.00111776
13,2420.89,0.9514,0.57236,0.99277,0.62582,0.51179,0.549,0.32522,1.50558,2.06485,1.41296,0.00108947,0.00108947,0.00108947
14,2604.52,0.93353,0.55928,0.98778,0.62419,0.5478,0.57856,0.32586,1.53381,1.98406,1.45337,0.00106118,0.00106118,0.00106118
15,2788.13,0.92868,0.55246,0.98484,0.55051,0.49399,0.50777,0.29355,1.55902,2.16875,1.48233,0.00103288,0.00103288,0.00103288
16,2971.95,0.91806,0.54495,0.97761,0.65973,0.50067,0.54205,0.31977,1.52483,2.03213,1.45895,0.00100459,0.00100459,0.00100459
17,3155.31,0.9068,0.53579,0.97748,0.65288,0.47134,0.51461,0.31228,1.52059,2.28964,1.45537,0.000976293,0.000976293,0.000976293
18,3338.93,0.90005,0.52795,0.97208,0.6332,0.50598,0.53599,0.3118,1.56419,2.09642,1.45683,0.000947999,0.000947999,0.000947999
19,3521.96,0.88975,0.52306,0.96535,0.64201,0.51506,0.55001,0.33133,1.48248,2.00993,1.42314,0.000919704,0.000919704,0.000919704
20,3705.6,0.88321,0.51598,0.96445,0.63663,0.50829,0.54046,0.31763,1.56233,2.12476,1.47231,0.00089141,0.00089141,0.00089141
21,3889.04,0.885,0.51485,0.9648,0.6237,0.49067,0.52954,0.31565,1.52428,2.17091,1.46233,0.000863116,0.000863116,0.000863116
22,4071.89,0.87202,0.50833,0.96292,0.57834,0.46547,0.49724,0.29559,1.56042,2.25229,1.47309,0.000834822,0.000834822,0.000834822
23,4255.61,0.86535,0.50442,0.95688,0.67821,0.47924,0.54224,0.32246,1.54118,2.16197,1.47844,0.000806528,0.000806528,0.000806528
24,4440.56,0.85898,0.4994,0.95443,0.62672,0.50251,0.53643,0.3195,1.52382,2.19166,1.45117,0.000778233,0.000778233,0.000778233
25,4624.13,0.861,0.50058,0.95681,0.63308,0.46718,0.50657,0.29675,1.57771,2.24735,1.49962,0.000749939,0.000749939,0.000749939
26,4808.35,0.84526,0.49133,0.94983,0.62615,0.46227,0.50944,0.30296,1.55642,2.20422,1.49507,0.000721645,0.000721645,0.000721645
27,4992.07,0.84518,0.48571,0.95072,0.69217,0.52807,0.57871,0.3348,1.55598,2.06,1.47962,0.000693351,0.000693351,0.000693351
28,5176.13,0.83039,0.47963,0.9456,0.69882,0.47143,0.55816,0.33213,1.53316,2.23441,1.50558,0.000665057,0.000665057,0.000665057
29,5358.43,0.82814,0.47696,0.9443,0.67516,0.47414,0.54053,0.31572,1.57315,2.17415,1.50878,0.000636762,0.000636762,0.000636762
30,5542.38,0.81723,0.47353,0.94148,0.65324,0.48236,0.53818,0.3194,1.56354,2.19384,1.49751,0.000608468,0.000608468,0.000608468
31,5725.36,0.82687,0.47428,0.94591,0.63,0.48143,0.526,0.30819,1.62023,2.15867,1.5232,0.000580174,0.000580174,0.000580174
32,5909.3,0.81089,0.47003,0.93871,0.67314,0.47142,0.54531,0.316,1.58535,2.26595,1.51166,0.00055188,0.00055188,0.00055188
33,6093.14,0.80636,0.46435,0.93569,0.59667,0.48445,0.51967,0.31198,1.61293,2.32303,1.52103,0.000523586,0.000523586,0.000523586
34,6277.73,0.80048,0.45901,0.9324,0.69575,0.44281,0.50972,0.29931,1.6184,2.46739,1.54465,0.000495291,0.000495291,0.000495291
35,6461.79,0.79883,0.45781,0.9317,0.67171,0.47552,0.53809,0.31816,1.58938,2.1965,1.51672,0.000466997,0.000466997,0.000466997
36,6644.5,0.78216,0.45241,0.93106,0.62206,0.48408,0.52677,0.31354,1.58736,2.22202,1.51864,0.000438703,0.000438703,0.000438703
37,6828.62,0.78538,0.45126,0.92984,0.58291,0.5137,0.53259,0.31255,1.59965,2.22874,1.52766,0.000410409,0.000410409,0.000410409
38,7013.47,0.78294,0.44908,0.92715,0.62396,0.50493,0.55059,0.32408,1.58279,2.18387,1.51476,0.000382115,0.000382115,0.000382115
39,7196.07,0.76892,0.44092,0.92316,0.62086,0.47697,0.53375,0.31923,1.58308,2.22259,1.51661,0.00035382,0.00035382,0.00035382
40,7379.6,0.76709,0.44033,0.92195,0.64852,0.46739,0.52537,0.31884,1.58905,2.32783,1.51907,0.000325526,0.000325526,0.000325526
41,7604.04,0.7295,0.41168,0.90383,0.63335,0.49149,0.54045,0.31817,1.61692,2.24686,1.54193,0.000297232,0.000297232,0.000297232
42,7777.11,0.71317,0.40254,0.90045,0.63945,0.47808,0.52647,0.31118,1.63758,2.2498,1.56174,0.000268938,0.000268938,0.000268938
43,7950.18,0.70287,0.39663,0.89556,0.63397,0.50649,0.53946,0.32126,1.62544,2.22803,1.54656,0.000240644,0.000240644,0.000240644
44,8123.74,0.70074,0.39393,0.89506,0.6216,0.49805,0.53656,0.31613,1.6152,2.23276,1.55115,0.000212349,0.000212349,0.000212349
45,8296.41,0.6846,0.38645,0.8925,0.63213,0.51077,0.55085,0.3272,1.60708,2.22963,1.54858,0.000184055,0.000184055,0.000184055
46,8469.63,0.68169,0.38533,0.89012,0.64249,0.52564,0.56642,0.33521,1.61091,2.22359,1.54949,0.000155761,0.000155761,0.000155761
47,8643.48,0.67594,0.38167,0.88688,0.65074,0.509,0.55963,0.33236,1.60677,2.22601,1.54181,0.000127467,0.000127467,0.000127467
48,8816.17,0.67168,0.37965,0.88668,0.61184,0.51794,0.5553,0.32811,1.60128,2.26445,1.54688,9.91726e-05,9.91726e-05,9.91726e-05
49,8988.19,0.66275,0.376,0.8863,0.64868,0.50808,0.55835,0.33103,1.60463,2.22977,1.5431,7.08784e-05,7.08784e-05,7.08784e-05
50,9161.3,0.65787,0.37423,0.88177,0.62261,0.50886,0.55406,0.32815,1.61274,2.28666,1.55103,4.25842e-05,4.25842e-05,4.25842e-05
