epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6723,1.28324,1.07664,1.20557,0.64924,0.56559,0.57549,0.37787,1.33019,2.01593,1.33252,0.000474349,0.000474349,0.000474349
2,174.49,1.09419,0.68902,1.09038,0.71786,0.58069,0.61094,0.39518,1.36295,2.05895,1.36829,0.00094127,0.00094127,0.00094127
3,259.32,1.05147,0.64462,1.07157,0.69901,0.57474,0.61182,0.38488,1.45087,2.02231,1.43762,0.00139876,0.00139876,0.00139876
4,342.131,1.01797,0.61618,1.05807,0.69744,0.57799,0.63074,0.37183,1.51425,1.9728,1.49854,0.00138656,0.00138656,0.00138656
5,429.47,0.99668,0.58141,1.04548,0.713,0.56609,0.62176,0.37713,1.42622,2.1024,1.42298,0.00137241,0.00137241,0.00137241
6,511.28,0.95563,0.55337,1.02292,0.66632,0.52308,0.56821,0.34679,1.5315,2.21036,1.50494,0.00135826,0.00135826,0.00135826
7,592.549,0.9175,0.5319,1.00591,0.67995,0.55928,0.59962,0.37808,1.44481,2.24771,1.45931,0.00134412,0.00134412,0.00134412
8,674.024,0.9146,0.52278,1.00169,0.67729,0.55824,0.58664,0.33927,1.52011,2.22204,1.5026,0.00132997,0.00132997,0.00132997
9,755.435,0.88925,0.50789,0.99105,0.64317,0.54275,0.57301,0.35101,1.47958,2.28802,1.47603,0.00131582,0.00131582,0.00131582
10,836.984,0.86991,0.49793,0.98643,0.68582,0.53945,0.582,0.36528,1.46589,2.33636,1.47305,0.00130168,0.00130168,0.00130168
11,923.817,0.86805,0.48967,0.9857,0.68142,0.58156,0.60418,0.37125,1.43794,2.17989,1.44472,0.00128753,0.00128753,0.00128753
12,1013.31,0.84699,0.48206,0.97951,0.69302,0.52615,0.57133,0.34938,1.4827,2.34847,1.51182,0.00127338,0.00127338,0.00127338
13,1102.91,0.84459,0.47883,0.97512,0.69544,0.56631,0.59477,0.36023,1.5136,2.23374,1.51844,0.00125923,0.00125923,0.00125923
14,1189.23,0.8294,0.46758,0.97152,0.72534,0.55209,0.6195,0.36011,1.55167,2.29586,1.57598,0.00124509,0.00124509,0.00124509
15,1279.28,0.82232,0.4622,0.96598,0.65777,0.57316,0.60189,0.3476,1.51051,2.28667,1.54242,0.00123094,0.00123094,0.00123094
16,1368.65,0.81171,0.45592,0.95913,0.66696,0.55819,0.59332,0.36165,1.49535,2.28352,1.53454,0.00121679,0.00121679,0.00121679
17,1448.86,0.80143,0.45217,0.95964,0.6176,0.54815,0.57172,0.35591,1.4899,2.49326,1.48307,0.00120265,0.00120265,0.00120265
18,1528.01,0.79649,0.44433,0.95551,0.60336,0.53633,0.56037,0.34597,1.50515,2.54112,1.51568,0.0011885,0.0011885,0.0011885
19,1607.29,0.78019,0.43642,0.94447,0.63703,0.50969,0.54919,0.32873,1.56045,2.467,1.57786,0.00117435,0.00117435,0.00117435
20,1686.64,0.77262,0.43304,0.94316,0.68226,0.54862,0.59497,0.37334,1.49025,2.34298,1.52459,0.00116021,0.00116021,0.00116021
21,1765.97,0.77843,0.43509,0.94554,0.67069,0.5283,0.58557,0.37305,1.49376,2.47917,1.50872,0.00114606,0.00114606,0.00114606
22,1845.67,0.77059,0.43078,0.94581,0.69719,0.5031,0.55471,0.33774,1.55073,2.54438,1.56347,0.00113191,0.00113191,0.00113191
23,1924.86,0.76161,0.42611,0.93972,0.73012,0.56236,0.61309,0.37968,1.50093,2.37035,1.54717,0.00111776,0.00111776,0.00111776
24,2003.46,0.75779,0.42137,0.9359,0.67657,0.50692,0.57801,0.36753,1.47227,2.56495,1.4954,0.00110362,0.00110362,0.00110362
